Date,AC,ACEN,ACENB,AEV,AGI,ALCPF,ALI,AP,AREIT,BDO,BPI,CBC,CLIA2,CNPF,CPGPB,CREIT,DDMPR,DMC,EMI,FGEN,FILRT,GLO,GTCAP,ICT,JFC,JGS,MBT,MEG,MER,MONDE,MPI,MREIT,NIKL,PGOLD,PRF4E,PX,RCR,RLC,RRHI,SCC,SECB,SM,SMC,SMC2M,SMC2O,SMPH,TEL,UBP,URC,VLL2B,VREIT,WLCON
1/2/2024, ₱715.00 , ₱4.30 ," ₱1,080.00 ", ₱49.90 , ₱11.20 , , ₱34.55 , ₱37.70 , ₱33.35 , ₱126.63 , ₱105.80 , ₱30.61 ,, ₱31.00 ,CPGPB, ₱2.58 , ₱1.23 , ₱9.23 , ₱20.85 , ₱17.80 , ₱2.62 ," ₱1,735.00 ", ₱597.59 , ₱256.00 , ₱255.00 , ₱40.00 , ₱51.70 , ₱1.98 , ₱399.00 , ₱8.45 ,0, ₱12.48 , ₱5.18 , ₱27.10 ,, ₱3.31 , ₱4.88 , ₱15.90 , ₱40.70 , ₱27.56 , ₱72.00 , ₱879.97 , ₱110.00 ,, ₱76.75 , ₱32.30 ," ₱1,275.00 ", ₱49.05 , ₱124.00 ,, ₱1.66 , ₱21.25 
1/3/2024, ₱706.00 , ₱4.35 ," ₱1,060.00 ", ₱49.00 , ₱11.32 , ₱505.00 , ₱34.25 , ₱37.80 , ₱33.65 , ₱125.05 , ₱103.50 , ₱30.61 ,, ₱31.00 , ₱100.90 , ₱2.58 , ₱1.23 , ₱9.29 , ₱20.70 , ₱17.80 , ₱2.75 ," ₱1,723.00 ", ₱595.10 , ₱249.80 , ₱254.60 , ₱40.00 , ₱51.61 , ₱1.98 , ₱394.00 , ₱8.55 ,0, ₱12.42 , ₱5.16 , ₱27.20 ,, ₱3.28 , ₱5.02 , ₱15.78 , ₱40.40 , ₱27.47 , ₱71.55 , ₱876.98 , ₱110.00 ,, ₱76.75 , ₱32.25 ," ₱1,272.00 ", ₱48.60 , ₱119.90 ,, ₱1.70 , ₱21.83 
1/4/2024, ₱725.00 , ₱4.24 ," ₱1,070.00 ", ₱49.90 , ₱11.40 , ₱503.00 , ₱34.80 , ₱37.70 , ₱33.75 , ₱129.41 , ₱104.00 , ₱30.86 ,, ₱31.00 , ₱100.90 , ₱2.57 , ₱1.23 , ₱9.37 , ₱20.75 , ₱17.92 , ₱2.82 ," ₱1,721.00 ", ₱599.09 , ₱255.40 , ₱256.00 , ₱41.30 , ₱52.43 , ₱2.00 , ₱397.00 , ₱8.57 ,0, ₱12.52 , ₱5.09 , ₱27.15 ,, ₱3.25 , ₱4.98 , ₱15.96 , ₱40.35 , ₱27.11 , ₱71.60 , ₱877.98 , ₱109.80 ,, ₱76.75 , ₱33.70 ," ₱1,284.00 ", ₱47.40 , ₱122.00 ,, ₱1.71 , ₱22.22 
1/5/2024, ₱711.50 , ₱4.47 ," ₱1,080.00 ", ₱49.90 , ₱11.46 , ₱503.00 , ₱34.30 , ₱38.25 , ₱34.00 , ₱131.89 , ₱104.50 , ₱30.91 ,, ₱31.50 , ₱100.90 , ₱2.59 , ₱1.22 , ₱9.48 , ₱20.85 , ₱17.82 , ₱2.84 ," ₱1,726.00 ", ₱603.57 , ₱252.00 , ₱258.00 , ₱42.90 , ₱52.97 , ₱2.03 , ₱399.00 , ₱8.52 ,0, ₱12.72 , ₱5.06 , ₱28.00 ," ₱1,005.00 ", ₱3.26 , ₱5.00 , ₱15.98 , ₱40.20 , ₱28.33 , ₱73.10 , ₱893.94 , ₱109.60 ,, ₱76.75 , ₱33.10 ," ₱1,280.00 ", ₱46.85 , ₱123.40 ,, ₱1.71 , ₱22.70 
1/8/2024, ₱701.50 , ₱4.56 ," ₱1,079.00 ", ₱50.00 , ₱11.58 , ₱503.00 , ₱34.00 , ₱38.20 , ₱33.00 , ₱131.09 , ₱104.00 , ₱30.96 ,, ₱32.00 , ₱100.90 , ₱2.59 , ₱1.23 , ₱9.36 , ₱20.85 , ₱17.94 , ₱2.91 ," ₱1,720.00 ", ₱607.55 , ₱249.00 , ₱257.00 , ₱43.10 , ₱52.73 , ₱2.02 , ₱395.00 , ₱8.69 ,0, ₱12.68 , ₱5.03 , ₱28.00 ," ₱1,005.00 ", ₱3.24 , ₱5.00 , ₱15.86 , ₱40.25 , ₱28.74 , ₱73.00 , ₱887.95 , ₱109.50 ,, ₱77.60 , ₱33.50 ," ₱1,280.00 ", ₱46.95 , ₱121.40 ,, ₱1.71 , ₱22.70 
1/9/2024, ₱696.00 , ₱4.44 ," ₱1,079.00 ", ₱48.60 , ₱11.70 ,, ₱34.50 , ₱38.10 , ₱33.50 , ₱132.38 , ₱105.00 , ₱31.16 ," ₱1,011.00 ", ₱32.50 , ₱101.00 , ₱2.60 , ₱1.22 , ₱9.36 , ₱20.90 , ₱17.96 , ₱2.92 ," ₱1,730.00 ", ₱604.57 , ₱246.40 , ₱253.00 , ₱41.70 , ₱53.89 , ₱2.02 , ₱391.00 , ₱8.68 ,0, ₱12.62 , ₱4.98 , ₱27.95 ," ₱1,015.00 ", ₱3.20 , ₱5.03 , ₱16.24 , ₱40.45 , ₱28.65 , ₱74.00 , ₱897.93 , ₱114.00 ,, ₱77.85 , ₱33.50 ," ₱1,297.00 ", ₱46.05 , ₱121.00 ,, ₱1.71 , ₱23.19 
1/10/2024, ₱665.00 , ₱4.31 ," ₱1,070.00 ", ₱48.30 , ₱11.46 ,, ₱34.45 , ₱38.00 , ₱33.55 , ₱133.87 , ₱104.80 , ₱31.16 ," ₱1,020.00 ", ₱33.00 , ₱101.00 , ₱2.59 , ₱1.22 , ₱9.24 , ₱20.85 , ₱17.70 , ₱2.97 ," ₱1,723.00 ", ₱609.55 , ₱241.00 , ₱250.00 , ₱40.90 , ₱53.99 , ₱2.00 , ₱382.00 , ₱8.50 ,0, ₱12.76 , ₱4.91 , ₱28.20 ," ₱1,015.00 ", ₱3.20 , ₱5.04 , ₱16.28 , ₱39.55 , ₱27.79 , ₱73.85 , ₱881.97 , ₱115.00 ,, ₱78.00 , ₱33.15 ," ₱1,288.00 ", ₱44.90 , ₱119.80 ,, ₱1.72 , ₱23.04 
1/11/2024, ₱674.00 , ₱4.31 ," ₱1,079.00 ", ₱48.50 , ₱11.60 ,, ₱34.25 , ₱38.30 , ₱33.50 , ₱138.53 , ₱108.80 , ₱31.16 ," ₱1,020.00 ", ₱33.60 ,, ₱2.61 , ₱1.23 , ₱9.44 , ₱20.85 , ₱17.70 , ₱2.99 ," ₱1,725.00 ", ₱610.54 , ₱238.40 , ₱259.80 , ₱40.20 , ₱54.48 , ₱2.00 , ₱380.00 , ₱8.63 ,0, ₱12.78 , ₱4.93 , ₱28.50 ," ₱1,015.00 ", ₱3.20 , ₱5.08 , ₱16.20 , ₱39.55 , ₱28.10 , ₱73.60 , ₱887.95 , ₱118.00 ,, ₱77.90 , ₱33.50 ," ₱1,281.00 ", ₱44.90 , ₱121.50 , ₱100.50 , ₱1.73 , ₱22.66 
1/12/2024, ₱680.50 , ₱4.33 ," ₱1,079.00 ", ₱48.70 , ₱11.52 , ₱503.00 , ₱34.05 , ₱38.35 , ₱33.60 , ₱137.73 , ₱107.00 , ₱31.16 ," ₱1,018.00 ", ₱33.80 , ₱100.50 , ₱2.66 , ₱1.24 , ₱9.44 , ₱20.85 , ₱17.90 , ₱3.09 ," ₱1,712.00 ", ₱615.52 , ₱245.80 , ₱265.00 , ₱40.20 , ₱55.84 , ₱2.00 , ₱380.00 , ₱8.41 ,0, ₱12.88 , ₱4.91 , ₱28.65 ," ₱1,000.00 ", ₱3.18 , ₱5.13 , ₱16.32 , ₱38.95 , ₱28.24 , ₱74.00 , ₱899.93 , ₱121.00 ,, ₱78.00 , ₱33.55 ," ₱1,290.00 ", ₱44.35 , ₱121.40 , ₱101.00 , ₱1.75 , ₱22.46 
1/15/2024, ₱680.50 , ₱4.39 ," ₱1,079.00 ", ₱49.50 , ₱11.60 , ₱503.00 , ₱34.00 , ₱38.35 , ₱34.00 , ₱137.73 , ₱109.00 , ₱31.21 ," ₱1,018.00 ", ₱34.00 , ₱100.00 , ₱2.65 , ₱1.25 , ₱9.67 , ₱20.85 , ₱17.90 , ₱3.17 ," ₱1,790.00 ", ₱623.99 , ₱251.20 , ₱266.80 , ₱41.00 , ₱54.87 , ₱2.00 , ₱381.00 , ₱8.36 ,0, ₱13.20 , ₱4.90 , ₱28.50 ," ₱1,000.00 ", ₱3.28 , ₱5.18 , ₱16.20 , ₱39.60 , ₱28.96 , ₱73.80 , ₱902.92 , ₱122.00 ,, ₱78.00 , ₱33.75 ," ₱1,271.00 ", ₱45.00 , ₱120.10 , ₱101.00 , ₱1.75 , ₱21.45 
